日足・最新の選択	当日	8月26日	日足				
市場	銘柄コード	銘柄名	始値	高値	安値	終値	出来高
			実	実	実	実	        実
東証1部	1881	ＮＩＰＰＯ	1910	1964	1910	1954	480000
東証1部	1882	東亜道	404	414	401	414	209000
東証1部	1883	前田道	1938	2016	1905	2005	407000
東証1部	1884	日道路	577	593	574	590	314000
東証1部	1885	東亜建	228	234	224	232	832000
東証1部	1888	若築建	148	153	148	152	1453000
東証1部	1890	東洋建	478	496	475	491	941500
JQグロース	1892	徳倉建	164	167	160	167	5000
東証1部	1893	五洋建	529	542	525	537	4595900
東証1部	1896	大林道	626	635	612	624	203000
東証2部	1897	金下建	417	417	417	417	1000
東証1部	1898	世紀東	490	496	487	494	188700
東証1部	1899	福田組	1030	1068	1021	1050	254000
JQスタンダード	1904	大成温	486	486	467	484	13000
JQスタンダード	1905	テノックス	731	731	700	720	15000
JQスタンダード	1906	細田工	113	124	113	121	40500
東証1部	1909	日本ドライ	2135	2182	2135	2182	4600
東証1部	1911	住友林	1275	1296	1253	1292	827100
東証1部	1914	日基礎	427	449	422	441	169900
東証1部	1916	日成ビルド	371	387	369	385	1553000
東証1部	1919	ヤマダＳＸＬ	84	85	81	83	1231000
東証1部	1921	巴コーポ	344	355	344	348	82600
東証1部	1924	パナホーム	750	760	740	753	587000
東証1部	1925	大和ハウス	2728	2798	2706	2777.5	3803200
東証1部	1926	ライト工	1059	1130	1046	1117	684200
東証1部	1928	積水ハウス	1680.5	1718.5	1662.5	1708	3878900
東証1部	1929	日特建	460	468	450	465	150000
東証1部	1930	北電事	1240	1240	1180	1220	48000
東証2部	1931	日電通	419	435	419	427	7000
東証2部	1933	ＳＹＳＫＥＮ	320	320	312	320	5000
東証1部	1934	ユアテック	964	997	961	977	104000
東証2部	1935	ＴＴＫ	480	480	471	477	16000
名１	1936	シーキューブ	448	458	448	458	15200
東証1部	1937	西電工	434	441	433	434	23000
東証1部	1939	四電工	390	401	390	399	34000
東証1部	1941	中電工	2228	2275	2200	2266	98100
東証1部	1942	関電工	750	767	745	757	641000
東証1部	1944	きんでん	1428	1473	1420	1466	613000
東証1部	1945	東エネシス	849	910	832	895	265000
東証1部	1946	トーエネク	790	802	783	794	189000
東証2部	1948	弘電社	238	242	234	242	4000
東証1部	1949	住電設	1560	1603	1557	1589	54900
東証1部	1950	日本電	2072	2169	2032	2133	91500
東証1部	1951	協エクシオ	1175	1218	1172	1212	690200
東証1部	1952	日空調	934	949	900	942	36400
東証1部	1954	日工営	448	464	444	463	320000
東証1部	1956	ＮＤＳ	294	299	292	295	112000
東証1部	1959	九電工	2204	2254	2170	2225	219000
東証2部	1960	サンテック	544	544	543	544	10000
東証1部	1961	三機工	888	910	870	877	126400
東証1部	1963	日揮	1710.5	1768	1694	1747.5	3487000
東証1部	1964	中外炉	215	224	215	220	154000
東証2部	1965	テクノ菱和	610	648	610	648	6400
東証2部	1966	高田工	619	650	616	640	30900
東証1部	1967	ヤマト	382	408	382	407	31000
東証1部	1968	太平電	1308	1349	1275	1312	221000
東証1部	1969	高砂熱	1726	1816	1726	1804	692500
東証2部	1971	ビルト工	112	119	112	119	137000
東証1部	1972	三晃金	210	214	206	214	85000
東証1部	1973	ＮＥＳＩＣ	2110	2182	2101	2151	125100
東証1部	1975	朝日工	430	437	417	435	47000
東証1部	1976	明星工	496	509	495	505	265500
東証1部	1979	大気社	2517	2604	2501	2587	91300
東証1部	1980	ダイダン	751	757	725	757	72000
東証1部	1982	日比谷	1372	1407	1371	1397	32600
東証1部	1983	東芝プラ	1160	1192	1143	1186	479600
JQスタンダード	1984	三信建	247	258	247	258	11000
東証2部	1987	ソルコム	262	262	260	261	4000
東証2部	1989	北電話	291	305	290	305	2700
JQスタンダード	1992	神通機	141	153	141	153	46000
JQスタンダード	1994	高橋ウォル	880	921	880	908	45900
JQスタンダード	1997	暁飯島	1907	1990	1865	1979	7100
東証1部	2001	日本粉	711	719	700	713	482000
東証1部	2002	日清粉Ｇ	1562	1595	1545	1567	1747300
東証1部	2003	日東富士	330	333	326	328	17000
東証1部	2004	昭和産	434	444	432	432	229000
東証2部	2006	東福粉	122	125	122	125	2000
東証1部	2007	伊藤園優先株	1823	1830	1808	1820	40900
東証2部	2008	増田粉	313	313	313	313	1000
東証1部	2009	鳥越粉	710	735	703	728	20700
東証1部	2053	中部飼	1035	1074	1018	1028	105100
東証2部	2055	日和産	224	240	222	231	31000
東証1部	2060	フィードワン	130	137	128	137	1353200
東証1部	2107	東洋糖	106	110	105	110	166000
東証1部	2108	甜菜糖	187	190	187	188	206000
東証1部	2109	三井糖	486	517	485	508	542000
東証1部	2112	塩水糖	227	235	227	232	101900
東証2部	2114	フジ日糖	387	399	387	399	2300
東証2部	2117	日新製糖	2703	2879	2703	2850	8700
東証1部	2120	ネクスト	765	775	717	746	1149800
東証マザーズ	2121	ミクシィ	4130	4390	4080	4380	4171000
東証マザーズ	2122	インタスペース	770	770	615	738	259100
JQスタンダード	2124	ＪＡＣＲ	845	886	836	849	150300
東証1部	2127	日本Ｍ＆Ａ	4610	4710	4560	4685	364500
東証1部	2128	ノバレーゼ	851	888	846	888	17500
JQグロース	2130	メンバーズ	401	403	386	389	3000
東証1部	2131	アコーディア	1169	1194	1163	1191	480200
東証2部	2132	アイレップ	198	208	194	205	163500
JQスタンダード	2134	サンキャピタル	111	122	111	122	166900
JQスタンダード	2136	ヒップ	495	518	487	518	16000
JQスタンダード	2138	クルーズ	2925	3070	2814	3035	5261000
東証2部	2139	中広	620	650	607	626	58200
JQスタンダード	2144	やまねメディ	340	344	331	334	48700
JQスタンダード	2145	データリンクス	1230	1291	1201	1250	1300
JQスタンダード	2146	ＵＴグループ	699	724	675	702	356100
東証マザーズ	2148	ＩＴＭ	1878	1969	1877	1912	165100
東証マザーズ	2150	ケアネット	808	840	808	826	18600
東証1部	2151	タケエイ	1360	1440	1360	1425	265000
JQスタンダード	2152	幼児活動	640	655	636	652	4400
東証2部	2153	イージェイＨＤ	941	971	941	971	3300
東証1部	2154	トラストテック	2020	2189	2020	2166	27100
JQスタンダード	2156	セーラー広告	226	246	226	246	4000
JQスタンダード	2157	コシダカＨＤ	2400	2475	2351	2475	264600
東証マザーズ	2158	ＵＢＩＣ	645	685	614	685	1304200
東証マザーズ	2159	フルスピード	364	399	364	399	82800
東証マザーズ	2160	ＧＮＩ	208	212	199	199	1760000
JQスタンダード	2162	ｎｍｓ	810	889	808	878	512200
JQスタンダード	2163	アルトナー	1141	1180	1124	1180	6100
JQスタンダード	2164	地域新聞社	536	549	532	549	6800
JQスタンダード	2165	メガロス	1809	1809	1678	1715	6200
東証1部	2168	パソナＧ	1113	1162	1113	1153	219400
東証1部	2169	ＣＤＳ	885	919	870	918	23100
東証1部	2170	ＬＩＮＫ＆Ｍ	115	122	115	121	778200
JQスタンダード	2173	博展	446	464	434	458	7100
東証1部	2174	ＧＣＡ	1522	1622	1520	1604	271200
東証1部	2175	ＳＭＳ	1799	1820	1738	1814	173700
JQスタンダード	2176	イナリサーチ	895	968	881	894	311900
東証マザーズ	2178	トライＳＴＧ	1748	1748	1664	1723	42900
JQスタンダード	2179	成学社	909	909	894	908	2700
JQスタンダード	2180	サニーサイド	860	900	860	880	2000
東証1部	2181	テンプＨＤ	4790	4920	4730	4875	417800
東証1部	2183	リニカル	1243	1348	1241	1343	50300
JQスタンダード	2185	シイエムシイ	3140	3270	3100	3150	22300
JQスタンダード	2186	ソーバル	1203	1251	1186	1233	16700
JQスタンダード	2191	テラ	787	855	786	851	132000
東証1部	2193	ＣＯＯＫＰＡＤ	2418	2470	2350	2470	1368900
JQスタンダード	2195	アミタＨＤ	815	815	755	784	11800
東証1部	2196	エスクリ	880	913	878	910	100900
東証1部	2198	アイケイケイ	515	526	514	523	40300
東証1部	2201	森永菓	625	635	612	623	2098000
東証1部	2204	中村屋	446	450	441	444	75000
東証1部	2206	グリコ	5850	6040	5790	6000	429700
東証1部	2207	名糖産	1321	1325	1295	1318	12300
東証2部	2208	ブルボン	1581	1600	1581	1600	5000
東証2部	2209	井村屋Ｇ	636	656	636	646	3000
東証1部	2211	不二家	189	191	189	190	258000
東証1部	2212	山崎パン	1881	1942	1880	1927	1203000
東証1部	2215	第一パン	106	111	106	109	146000
東証2部	2216	カンロ	455	455	455	455	2000
東証1部	2217	モロゾフ	415	421	406	411	52000
東証1部	2220	亀田製	4580	4720	4550	4680	51500
JQスタンダード	2221	岩塚菓	6420	6500	6300	6350	14300
東証1部	2222	寿スピリッツ	3545	3580	3435	3565	26900
JQスタンダード	2224	コモ	2201	2285	2201	2285	5200
JQスタンダード	2226	フレンテ	2701	2829	2701	2800	2000
JQスタンダード	2228	シベール	3000	3095	3000	3095	10400
東証1部	2229	カルビー	4340	4460	4335	4405	916400
東証1部	2264	森永乳	554	564	548	554	957000
東証1部	2266	六甲バタ	1510	1544	1480	1536	44500
東証1部	2267	ヤクルト	6480	6660	6460	6550	575000
JQスタンダード	2268	サーティワン	4155	4180	4150	4180	2000
東証1部	2269	明治ＨＤ	18200	18400	17880	18310	399300
東証1部	2270	雪印メグ	2200	2220	2169	2184	463600
東証1部	2281	プリマハム	339	343	335	335	1101000
東証1部	2282	日本ハム	2652	2711	2648	2665	1528000
東証1部	2284	伊藤ハム	720	726	705	711	645000
東証1部	2286	林兼産	120	121	116	120	2342000
東証1部	2288	丸大食	485	494	475	482	328000
東証1部	2290	米久	2728	2728	2607	2676	50100
東証2部	2291	福留ハム	400	417	400	415	10000
東証1部	2292	ＳＦＯＯＤＳ	2500	2524	2435	2510	110700
JQスタンダード	2293	滝沢ハム	432	449	432	449	3000
JQスタンダード	2294	柿安	1822	1870	1822	1870	11400
JQスタンダード	2300	きょくと	550	551	540	544	5900
東証1部	2301	学情	1069	1120	1036	1105	82600
JQスタンダード	2303	ドーン	616	715	616	715	26600
JQスタンダード	2304	ＣＳＳＨＤ	445	454	427	452	18600
東証1部	2305	スタジオアリス	2206	2248	2192	2229	33600
JQスタンダード	2307	クロスキャット	417	434	417	434	10000
東証1部	2309	シミックＨＤ	1454	1553	1412	1546	53100
JQスタンダード	2311	エプコ	1400	1445	1379	1400	34200
JQスタンダード	2315	ＳＪＩ	38	41	37	41	1794200
東証1部	2317	システナ	1067	1093	1050	1086	117400
JQスタンダード	2321	ソフトフロント	227	237	225	237	353200
JQスタンダード	2323	ｆｏｎｆｕｎ	432	432	383	414	80600
東証1部	2325	ＮＪＳ	1400	1470	1400	1438	11200
東証1部	2326	デジアーツ	1852	1956	1852	1945	175200
東証1部	2327	ＮＳＳＯＬ	4075	4395	4070	4355	231500
JQスタンダード	2329	東北新	803	864	803	829	4800
JQスタンダード	2330	フォーサイド	147	159	146	154	314200
東証1部	2331	ＡＬＳＯＫ	4740	4835	4710	4810	486500
JQスタンダード	2332	クエスト	835	835	831	831	2500
東証1部	2335	キューブシス	564	590	564	588	31000
JQスタンダード	2337	いちごＨＤ	248	254	240	253	3943400
東証2部	2338	Ｆａｓｔｅｐ	520	539	512	515	35600
JQスタンダード	2340	極楽湯	553	592	553	580	174100
JQスタンダード	2341	アルバイトタイ	241	245	239	245	70700
東証マザーズ	2342	トランス	535	565	518	557	438900
JQスタンダード	2344	平安レイ	695	708	694	696	7500
東証2部	2345	システクアイ	690	737	684	735	2300
JQスタンダード	2349	エヌアイデイ	2100	2314	2071	2300	12000
東証マザーズ	2351	ＡＳＪ	425	447	422	436	29100
東証マザーズ	2352	エイジア	988	1054	950	1040	32500
東証1部	2353	日駐	146	152	146	152	1996800
東証2部	2354	安川情	219	230	212	230	39300
東証1部	2359	コア	795	808	791	803	15100
JQスタンダード	2362	夢真ＨＤ	716	741	704	737	954300
東証マザーズ	2369	メディビック	185	193	180	188	348100
東証マザーズ	2370	ＭＤＮＴ	142	154	142	152	1135800
東証1部	2371	カカクコム	1825	1945	1797	1930	2297300
東証1部	2372	アイロムＧ	1468	1590	1460	1583	77500
JQスタンダード	2373	ケア２１	2036	2052	2036	2052	200
JQスタンダード	2374	セントケアＨＤ	1236	1236	1198	1198	3800
東証2部	2375	スリープロ	328	350	310	340	24100
東証2部	2376	サイネックス	1010	1060	997	1057	5600
東証1部	2378	ルネサンス	1247	1329	1247	1314	61100
東証1部	2379	ディップ	12500	13000	12150	12720	233800
東証1部	2384	ＳＢＳＨＤ	863	877	851	875	143400
東証マザーズ	2385	総医研ＨＤ	176	190	175	187	263800
JQスタンダード	2388	ウェッジＨＤ	387	394	360	385	556400
東証1部	2389	オプトＨＤ	552	577	552	569	65900
JQスタンダード	2391	プラネット	1399	1405	1375	1400	900
東証2部	2393	日本ケア	642	650	630	648	8800
東証1部	2395	新日科学	482	499	471	477	343800
東証2部	2397	ＤＮＡチップ	550	567	550	556	13300
東証1部	2398	ツクイ	1014	1025	993	1011	134900
東証1部	2399	綜合ＨＤ	419	423	411	421	22500
JQスタンダード	2400	メッセージ	3885	4060	3885	3975	35400
東証マザーズ	2402	アマナ	825	870	825	870	4800
東証2部	2404	鉄人化計画	655	670	629	644	157400
東証マザーズ	2405	ＦＵＪＩＫＯＨ	565	565	540	559	22500
JQスタンダード	2406	アルテＨＤ	656	666	656	666	3800
JQスタンダード	2408	ＫＧ情報	551	584	551	570	2900
東証1部	2410	キャリアＤＣ	940	978	928	975	127300
JQスタンダード	2411	ゲンダイＡＧ	638	660	636	660	11600
東証2部	2412	ベネ・ワン	1940	2120	1908	2095	135600
東証1部	2413	エムスリー	2576	2682	2500	2669	2287700
JQスタンダード	2415	ヒューマンＨＤ	720	747	716	747	16000
東証2部	2417	ツヴァイ	802	822	802	819	10600
東証1部	2418	ツカダＧＨＤ	725	755	720	755	85400
JQスタンダード	2425	ケアサービス	590	600	588	590	1700
東証1部	2427	アウトソシング	2236	2365	2227	2341	299900
東証1部	2428	ウェルネット	2462	2524	2377	2509	124200
JQスタンダード	2429	ワールドＨＤ	1670	1695	1611	1680	132900
東証1部	2432	ディーエヌエー	2093	2133	2060	2117	2569000
東証1部	2433	博報ＤＹ	1142	1165	1118	1160	1478300
JQスタンダード	2435	シダー	224	230	223	230	88300
JQスタンダード	2436	共同ＰＲ	666	666	666	666	1200
JQスタンダード	2437	シンワアート	302	323	280	286	254600
東証マザーズ	2438	アスカネット	1442	1499	1379	1485	343400
東証1部	2440	ぐるなび	1960	1966	1871	1914	373600
東証1部	2445	ＳＲＧタカミヤ	539	586	528	578	111100
JQスタンダード	2449	プラップＪ	1020	1118	1020	1106	7600
東証1部	2450	一休	2121	2173	2072	2158	314900
東証1部	2453	ＪＢＲ	230	237	225	234	119400
JQスタンダード	2454	オールアバウト	489	515	480	510	88600
JQスタンダード	2458	夢テクノロジー	745	771	745	770	1300
東証マザーズ	2459	アウンコンサル	274	293	273	288	174900
東証1部	2461	ファンコミ	820	855	800	850	1277400
東証1部	2462	ジェイコムＨＤ	910	957	910	948	39600
東証マザーズ	2464	ＢＢＴ	422	444	418	440	74900
JQグロース	2467	バルクＨＤ	168	175	162	175	6100
東証マザーズ	2468	フュートレック	411	465	411	446	67700
JQスタンダード	2469	ヒビノ	4180	4300	4050	4300	8200
JQスタンダード	2471	エスプール	735	778	721	760	20500
東証1部	2475	ＷＤＢ	1300	1370	1253	1355	78900
東証マザーズ	2477	比較コム	805	863	797	847	125000
JQスタンダード	2479	ジェイテック	186	229	186	229	492900
JQスタンダード	2480	シスロケ	1240	1378	1221	1348	14200
JQスタンダード	2481	タウンニュース	400	432	395	432	20100
JQスタンダード	2483	翻訳センター	3960	4080	3820	4000	9400
JQスタンダード	2484	夢の街創造	1100	1128	1080	1083	31300
東証1部	2485	ティア	728	782	726	762	90700
JQスタンダード	2487	ＣＤＧ	1708	1803	1708	1803	3800
JQスタンダード	2488	日本サード	537	580	528	575	18700
東証マザーズ	2489	アドウェイズ	814	870	802	860	573900
東証1部	2491	Ｖコマース	520	520	494	508	132400
東証マザーズ	2492	インフォマート	1251	1295	1202	1235	114700
JQスタンダード	2493	イーサポート	1870	1876	1800	1865	16200
東証マザーズ	2497	ＵＮＩＴＥＤ	1388	1457	1359	1457	946600
JQスタンダード	2498	ＡＣＫグループ	571	594	570	593	21200
東証2部	2499	日本和装ＨＤ	244	245	237	243	16500
東証1部	2501	サッポロＨＤ	460	460	440	451	7191000
東証1部	2502	アサヒ	3680	3732	3641	3710	2158500
東証1部	2503	キリンＨＤ	1645	1678	1637.5	1672.5	6335100
東証1部	2531	宝ＨＤ	787	803	769	788	1328500
東証1部	2533	オエノンＨＤ	217	217	212	214	272000
東証2部	2538	ＪＦＬＡ	41	43	40	43	5836000
東証1部	2540	養命酒	980	988	972	974	16000
JQグロース	2551	マルサンアイ	587	600	582	591	9000
東証2部	2573	北海コカ	557	580	557	580	11000
東証1部	2579	コカウエスト	2302	2315	2262	2299	644800
東証1部	2580	コカコーラＥＪ	2043	2056	2007	2019	563600
東証マザーズ	2586	フルッタ	1550	1650	1550	1620	10400
東証1部	2587	サントリーＢＦ	4820	4895	4755	4785	1145700
東証2部	2588	ウォーターＤ	462	505	462	505	1500
東証1部	2590	ダイドドリ	4870	5050	4810	4835	82300
東証1部	2593	伊藤園	2684	2700	2556	2589	1021700
東証1部	2594	キーコーヒー	2147	2147	2065	2105	41000
東証1部	2597	ユニカフェ	851	885	851	875	8800
東証1部	2599	ジャパンＦ	1118	1120	1090	1115	6900
東証1部	2602	日清オイリ	438	442	431	434	651000
東証1部	2607	不二油	1623	1637	1560	1614	1186900
東証2部	2608	ボーソー	153	160	153	158	31000
東証1部	2612	かどや油	2704	2706	2670	2680	2100
東証1部	2613	Ｊオイル	375	380	371	376	315000
東証1部	2651	ローソン	8400	8460	8270	8430	960500
東証2部	2652	まんだらけ	660	672	645	672	12000
JQスタンダード	2653	イオン九州	1657	1695	1657	1683	1500
東証2部	2654	アスモ	69	71	67	71	375000
東証2部	2655	ＭＶ東北	1100	1150	1060	1150	9300
JQスタンダード	2656	ベクター	380	395	379	392	19000
JQスタンダード	2658	ウライ	156	156	147	154	23000
東証1部	2659	サンエー	5300	5340	5130	5290	72500
東証1部	2662	ダイユーエイト	739	760	739	758	22100
東証1部	2664	カワチ薬品	1918	1944	1906	1926	109300
JQスタンダード	2666	オートウェーブ	103	111	103	106	637400
JQスタンダード	2667	イメージワン	302	340	277	319	417100
東証2部	2668	タビオ	1167	1205	1164	1188	9300
JQスタンダード	2669	カネ美食	3400	3400	3360	3400	3000
東証1部	2670	ＡＢＣマート	6890	7070	6720	7050	640300
JQスタンダード	2673	夢みつけ隊	142	150	141	150	106600
東証1部	2674	ハードオフ	1390	1448	1368	1422	70400
東証2部	2675	ダイナック	1511	1580	1511	1580	4700
東証1部	2676	高千穂	980	1002	977	999	17300
東証1部	2678	アスクル	3775	3980	3750	3970	480800
東証1部	2681	ゲオＨＤ	1733	1750	1701	1714	296700
東証2部	2683	魚喜	1829	1880	1804	1870	14900
東証1部	2685	アダストリア	5380	5430	5240	5330	221900
JQグロース	2686	ジーフット	820	850	780	850	24400
東証1部	2687	シーヴイエス	108	108	102	107	484000
東証2部	2689	カワニシＨＤ	1089	1090	1067	1080	9200
東証1部	2692	伊藤食	3980	4050	3980	4005	8100
JQスタンダード	2693	ＹＫＴ	180	191	176	191	125600
JQスタンダード	2694	Ｇテイスト	88	91	86	91	168100
東証1部	2695	くらコーポ	3150	3250	3145	3235	77500
東証1部	2698	キャンドゥ	1485	1510	1482	1510	42000
JQスタンダード	2700	木徳神	652	662	648	648	9000
JQスタンダード	2702	マクドナルド	2606	2622	2584	2615	354600
JQスタンダード	2703	日ライトン	227	242	227	238	138900
JQスタンダード	2705	大戸屋ＨＤ	1870	1885	1860	1880	12300
JQスタンダード	2706	ブロッコリー	378	410	374	401	1775000
JQスタンダード	2708	久世	670	681	670	681	1600
JQスタンダード	2710	シーエスロジ	240	242	240	242	2000
JQスタンダード	2714	プラマテルズ	480	488	475	488	2000
東証1部	2715	エレマテック	2551	2655	2550	2641	25500
東証2部	2719	キタムラ	751	760	751	759	4400
JQスタンダード	2721	ＪＨＤ	529	529	480	504	11200
JQスタンダード	2722	アイケイ	820	836	820	836	2200
東証1部	2726	パル	3415	3525	3385	3445	80500
東証1部	2729	ＪＡＬＵＸ	2015	2142	2015	2093	55300
東証1部	2730	エディオン	838	849	812	819	1127200
東証1部	2733	あらた	2482	2615	2432	2612	58500
東証1部	2734	サーラ	546	559	540	549	21400
東証1部	2735	ワッツ	1015	1021	1005	1021	127700
JQスタンダード	2736	サダマツ	310	340	310	340	61000
東証1部	2737	トーメンデバ	2008	2100	2002	2043	8000
JQスタンダード	2742	ハローズ	2036	2230	2036	2197	4700
JQスタンダード	2743	ハイブリッド	237	237	220	226	17600
東証1部	2749	ＪＰＨＤ	285	296	285	292	361800
JQスタンダード	2750	石光商	317	319	314	314	6100
JQスタンダード	2751	テンポス	2020	2098	1970	2098	72200
JQスタンダード	2752	フジオフード	2301	2364	2301	2350	23800
東証1部	2753	あみやき	4375	4495	4350	4475	14800
JQスタンダード	2754	東葛ＨＤ	332	332	332	332	2000
JQスタンダード	2759	アイフラッグ	93	93	90	91	182800
東証1部	2760	東エレデバ 	1570	1600	1546	1592	32400
JQスタンダード	2761	トシンＧ	2430	2430	2430	2430	100
東証2部	2762	三光フーズ	868	898	868	898	16700
JQスタンダード	2763	エフティＧ	1902	2053	1901	2032	39700
東証1部	2764	ひらまつ	634	652	620	648	294500
東証2部	2766	ＪＷＤ	577	577	577	577	29700
